AirportcodeToCity,General
airportToCountry,General
AnimalToGenusSpeciesCommonNames,General
ArenaTocurrentSoccerClubs,General
AsciiToUnicode,Algorithmic
AthletesHoldingWorldRecordsPerCountry,General
Author2Novels,General
AwardToArtist,General
BankToCity,General
bankToCountryDistinct,General
BankToSwiftCode,General
CharToAscii,Algorithmic
City2LongLat,General
City2TallBuildings,General
CityToCountry,General
CityToZIp,General
CompanyToBloombergID,General
CompanyToCeo,General
CompanyToIndustry,General
CompanyToTicker,General
Continent2Countries,General
CountriesToContinents,General
Country2Mountains7k,General
Country2UnescoSites,General
CountryCodeToCountry,General
CountryToAreaSqKM,General
CountryToCitizen,General
CountryToCurrencies,General
CountryToLanguage,General
CountryToThreeLettersISOCode,General
CountryToTwoLettersISOCode,General
CUSIPToCompanyName,General
Driver2Champioships,General
ElementToBP,General
ElementToSymbol,General
EnglishToGerman,General
fahrenheitToCelcius,Numbers
GregorianToHijri,Algorithmic
IBANToBankName,General
IPToCountry,General
IPToDomain,General
ISBNToAuthor,General
ISBNToPublisher,General
ISBNToTitle,General
ISSNToTitle,General
Lake2Countries,General
ManufacturerToProducts,General
Mountain7k2Countries,General
MountainsOver7k2feet,General
MountainsOver7k2meters,General
MountainsOver7k2Range,General
Movie2Cast,General
Movie2year,General
NBAClub2Roster,General
PatentIDToName,General
Person2Spouses,General
PoundsToKg,Numbers
RegionToAreaCode-Single,General
RGBToColor,General
shoesizeUSEUR,Numbers
SoccerPlayer2Birthdate,General
SoccerPlayer2Birthplace,General
SoccerPlayer2club,General
SoccerPlayer2NationalTeam,General
SoccerplayerToAllclub,General
soccerTeam2Arena,General
StateToAbbrv,General
SwiftToBankName,General
SymbolToCompanyName,General
TeamToCoach,General
TeamToManager,General
UnescoSite2Location,General
UniversityTostate,General
USStandardToMetric,General
Worldcupwinner2year,General
WorldRecordToAthlete,General
YearNobelPrizeFieldLaureate,General
YearNobelPrizeLaureate,General
ZipToCity,General
ZipToState,General
